,project_name,num_commits,project_age_days,num_issues,num_pull,num_stargazers,num_watchers,num_forks,num_subscribers,num_contributors,project_size(kB),ssf_score,ssf0_Binary-Artifacts,ssf1_Branch-Protection,ssf3_CII-Best-Practices,ssf7_Dependency-Update-Tool,ssf8_Fuzzing,ssf9_License,ssf10_Maintained,ssf13_SAST,ssf17_Vulnerabilities,num_sonarQube_BUG_HIGH,num_sonarQube_BUG_MEDIUM,num_sonarQube_BUG_LOW,num_sonarQube_BUG_BLOCKER,num_sonarQube_VULNERABILITY_HIGH,num_sonarQube_VULNERABILITY_MEDIUM,num_sonarQube_VULNERABILITY_LOW,num_sonarQube_VULNERABILITY_BLOCKER,num_sonarQube_CODE_SMELL_HIGH,num_sonarQube_CODE_SMELL_MEDIUM,num_sonarQube_CODE_SMELL_LOW,num_sonarQube_CODE_SMELL_BLOCKER,Generic policy,Reporting mechanism,Scope of practice,User guideline
0,django/django,0.19236710639066845,0.7734263233190272,0.14512482226521523,0.24757107826893762,0.4286857124449002,0.4286857124449002,0.4273677976823376,0.3019116677653263,0.8225469728601252,0.04342174537981938,0.515625,1.0,0.30000000000000004,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1320754716981132,0.10227272727272728,0.011752682677567707,0.007797270955165692,1.0,0.0,0.0,0.0,0.15238863132432978,0.12474525367371019,0.16758189736792273,0.11377245508982037,1,0,0,0
1,pymysql/pymysql,0.006388919654671898,0.8226037195994277,0.009059617879925097,0.006667108489628206,0.04117517570186789,0.04117517570186789,0.019152343907724197,0.03005932762030323,0.2275574112734864,0.00022812863955230862,0.578125,1.0,0.30000000000000004,0.0,1.0,1.0,1.0,0.4,1.0,1.0,0.1320754716981132,0.10227272727272728,0.011752682677567707,0.007797270955165692,1.0,0.0,0.0,0.0,0.15238863132432978,0.12474525367371019,0.16758189736792273,0.11377245508982037,0,1,0,0
2,ome/omero-web,0.07824677785096795,0.29846208869814017,0.004568658073238386,0.0050235270727019676,8.590465656929016e-05,8.590465656929016e-05,0.0004037739404298847,0.0015820698747528016,0.07515657620041753,0.004340036345974598,0.4375,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0010330578512396695,0.0,0.0,0.0,0.0,0.0,0.0,0.00463616206409998,0.00311058672101255,0.012686991100170422,0.005988023952095809,0,1,0,0
3,gradio-app/gradio,0.041691198330486685,0.33941344778254645,0.07364241703767588,0.060308834250115975,0.1800185768819831,0.1800185768819831,0.03418619362306357,0.02294001318391562,0.6805845511482255,0.04562852400770209,0.375,1.0,0.1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.30165289256198347,0.005620848237097599,0.011695906432748537,0.0,0.0,0.0,0.0,0.8324934489014312,0.2713718760055776,0.20223442529823896,0.38922155688622756,1,1,0,0
4,requests/requests,0.03671297078934636,0.851931330472103,0.050667039618346114,0.033786201868911125,0.27992032343103196,0.27992032343103196,0.12551985894830348,0.17481872116018457,0.8350730688935282,0.002151843540924913,0.875,1.0,0.6000000000000001,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30165289256198347,0.005620848237097599,0.011695906432748537,0.0,0.0,0.0,0.0,0.8324934489014312,0.2713718760055776,0.20223442529823896,0.38922155688622756,0,1,0,1
5,microcosm-cc/bluemonday,0.0019644762076865235,0.671137339055794,0.0015772748109989664,0.0012326860626946782,0.01715408610868013,0.01715408610868013,0.002355347985840994,0.004878048780487805,0.056367432150313146,0.00010098845326973144,0.4375,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05578512396694215,0.0030659172202350538,0.0,0.01680672268907563,0.0,0.0,0.0,0.06208425720620843,0.04258285959455111,0.04620337057375497,0.005988023952095809,1,1,1,0
6,scrapy/scrapy,0.06160410849504801,0.9157725321888411,0.05009207244586373,0.045397309298164226,0.28416723489017626,0.28416723489017626,0.14183232614167082,0.23388266315095582,0.7807933194154488,0.004376879039024142,0.453125,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004031445273130417,0.0026815402767349566,0.0015148646089755728,0.0,1,1,1,0
7,wandb/wandb,0.04187190682436883,0.4529685264663805,0.06776842808636939,0.07104513221552124,0.04872941643892984,0.04872941643892984,0.009044536265629417,0.007910349373764008,0.36534446764091855,0.023182442219884098,0.53125,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8,0.8,0.009433962264150943,0.027892561983471075,0.000510986203372509,0.007797270955165692,0.36134453781512604,0.0,0.0,0.0,0.02338238258415642,0.01662554971575673,0.04847566748721833,0.059880239520958084,1,1,0,0
8,berriai/litellm,0.1060117635400211,0.03898426323319027,0.04919077255386432,0.0382927960766121,0.07170891207121496,0.07170891207121496,0.021090458821787644,0.00949241924851681,0.674321503131524,0.04558674702540484,0.359375,1.0,0.0,0.0,1.0,0.0,0.9,1.0,0.9,0.0,0.11320754716981132,0.047520661157024795,0.0015329586101175269,0.009746588693957114,0.09243697478991596,0.0,0.0,0.0,0.3158637371497682,0.1410490185562587,0.2921795114561636,0.035928143712574856,1,1,0,1
9,aio-libs/aiosmtpd,0.004820836272275236,0.498211731044349,0.003923762460859498,0.004347537941546822,0.0017234621724213839,0.0017234621724213839,0.001292076609375631,0.0017139090309822016,0.07306889352818371,0.0002111875798018488,0.671875,1.0,0.30000000000000004,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.11320754716981132,0.047520661157024795,0.0015329586101175269,0.009746588693957114,0.09243697478991596,0.0,0.0,0.0,0.3158637371497682,0.1410490185562587,0.2921795114561636,0.035928143712574856,0,0,0,0
