Target Column,feature_types,selected_features,Accuracy,AUC,Macro Avg F1,Best Model
Generic policy,project_feature,"['project_age_days', 'num_subscribers', 'num_issues', 'project_size(kB)', 'num_contributors']",0.6311475409836066,0.6999458874458875,0.6299292214357937,"RandomForestClassifier(max_features=2, n_estimators=512, n_jobs=1,
                       random_state=1, warm_start=True)"
Generic policy,security_practice,"['ssf1_Branch-Protection', 'ssf13_SAST', 'ssf3_CII-Best-Practices', 'ssf17_Vulnerabilities', 'ssf7_Dependency-Update-Tool']",0.5655737704918032,0.5996732026143791,0.5648428561814388,"RandomForestClassifier(criterion='entropy', max_features=15, n_estimators=512,
                       n_jobs=1, random_state=1, warm_start=True)"
Generic policy,project_quality,"['num_sonarQube_CODE_SMELL_BLOCKER', 'num_sonarQube_BUG_MEDIUM', 'num_sonarQube_VULNERABILITY_BLOCKER', 'num_sonarQube_BUG_LOW', 'num_sonarQube_CODE_SMELL_MEDIUM']",0.6065573770491803,0.6584145021645023,0.6061339790153351,"RandomForestClassifier(max_features=2, n_estimators=512, n_jobs=1,
                       random_state=1, warm_start=True)"
Reporting mechanism,project_feature,"['project_age_days', 'num_subscribers', 'num_issues', 'project_size(kB)', 'num_contributors']",0.8417721518987342,0.940224358974359,0.8412570831491379,"RandomForestClassifier(max_features=2, n_estimators=512, n_jobs=1,
                       random_state=1, warm_start=True)"
Reporting mechanism,security_practice,"['ssf1_Branch-Protection', 'ssf13_SAST', 'ssf3_CII-Best-Practices', 'ssf17_Vulnerabilities', 'ssf7_Dependency-Update-Tool']",0.8227848101265823,0.8540865384615385,0.8217566478646252,"RandomForestClassifier(max_features=2, n_estimators=512, n_jobs=1,
                       random_state=1, warm_start=True)"
Reporting mechanism,project_quality,"['num_sonarQube_CODE_SMELL_BLOCKER', 'num_sonarQube_BUG_MEDIUM', 'num_sonarQube_VULNERABILITY_BLOCKER', 'num_sonarQube_BUG_LOW', 'num_sonarQube_CODE_SMELL_MEDIUM']",0.759493670886076,0.8536585365853658,0.7593394260060926,"RandomForestClassifier(max_features=2, n_estimators=512, n_jobs=1,
                       random_state=1, warm_start=True)"
Scope of practice,project_feature,"['project_age_days', 'num_subscribers', 'num_issues', 'project_size(kB)', 'num_contributors']",0.580952380952381,0.587719298245614,0.58,"RandomForestClassifier(max_features=2, n_estimators=512, n_jobs=1,
                       random_state=1, warm_start=True)"
Scope of practice,security_practice,"['ssf1_Branch-Protection', 'ssf13_SAST', 'ssf3_CII-Best-Practices', 'ssf17_Vulnerabilities', 'ssf7_Dependency-Update-Tool']",0.5714285714285714,0.5674981658107117,0.5517503083198938,"RandomForestClassifier(max_features=2, n_estimators=512, n_jobs=1,
                       random_state=1, warm_start=True)"
Scope of practice,project_quality,"['num_sonarQube_CODE_SMELL_BLOCKER', 'num_sonarQube_BUG_MEDIUM', 'num_sonarQube_VULNERABILITY_BLOCKER', 'num_sonarQube_BUG_LOW', 'num_sonarQube_CODE_SMELL_MEDIUM']",0.5333333333333333,0.5431851311953353,0.5318045318045319,"PassiveAggressiveClassifier(C=0.14833233294431605, average=True,
                            loss='squared_hinge', max_iter=16, random_state=1,
                            tol=0.00016482166646253793, warm_start=True)"
User guideline,project_feature,"['project_age_days', 'num_subscribers', 'num_issues', 'project_size(kB)', 'num_contributors']",0.8104575163398693,0.890836515098924,0.810165575664228,"RandomForestClassifier(max_features=2, n_estimators=512, n_jobs=1,
                       random_state=1, warm_start=True)"
User guideline,security_practice,"['ssf1_Branch-Protection', 'ssf13_SAST', 'ssf3_CII-Best-Practices', 'ssf17_Vulnerabilities', 'ssf7_Dependency-Update-Tool']",0.7777777777777778,0.8835664335664334,0.7775401984262743,"RandomForestClassifier(max_features=2, n_estimators=512, n_jobs=1,
                       random_state=1, warm_start=True)"
User guideline,project_quality,"['num_sonarQube_CODE_SMELL_BLOCKER', 'num_sonarQube_BUG_MEDIUM', 'num_sonarQube_VULNERABILITY_BLOCKER', 'num_sonarQube_BUG_LOW', 'num_sonarQube_CODE_SMELL_MEDIUM']",0.803921568627451,0.8596885813148789,0.8029027825489523,"RandomForestClassifier(max_features=2, n_estimators=512, n_jobs=1,
                       random_state=1, warm_start=True)"
