ssf0_Binary-Artifacts,ssf1_Branch-Protection,ssf3_CII-Best-Practices,ssf8_Fuzzing,ssf10_Maintained
1.0,0.5,0.2,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.1,0.0,0.0,1.0
1.0,0.22738854176436704,0.0,0.0,0.6369427088218352
1.0,0.6000000000000001,0.0,0.0,1.0
1.0,0.6000000000000001,0.0,0.0,1.0
1.0,0.8,0.0,0.0,0.6000000000000001
1.0,0.1,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.19314793512846318,0.0,0.0,0.0
1.0,0.3,0.0,0.0,0.8790193742657422
1.0,0.8,0.0,0.0,0.0
1.0,0.8,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
1.0,0.8,0.0,0.0,1.0
1.0,0.3,0.0,1.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.8,0.0,0.0,1.0
1.0,0.6000000000000001,0.0,1.0,1.0
1.0,0.3,0.0,1.0,0.0
1.0,0.8,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
0.7000000000000001,0.3,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.028427932695836697
1.0,0.7148328297753229,0.0,0.0,1.0
1.0,0.3,0.0,0.0,0.0
1.0,0.3,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.6000000000000001
1.0,0.0,0.0,0.0,1.0
1.0,0.8,0.0,0.0,0.0
1.0,0.8,0.5,0.0,1.0
0.8,0.3,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.1,0.0,0.0,1.0
0.0,0.2,0.0,0.0,1.0
1.0,0.3,0.0,0.6751803751212775,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.00944471010358272,0.0,0.0,1.0
1.0,0.6000000000000001,0.0,0.0,1.0
1.0,0.1,0.0,0.0,1.0
1.0,0.1,0.0,0.0,1.0
0.2,0.0,0.0,1.0,1.0
0.8,0.3,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.7033610640253422,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
1.0,0.6000000000000001,0.0,0.0,1.0
0.0,0.3,0.2,1.0,1.0
1.0,0.8,0.0,1.0,1.0
1.0,0.3,0.0,1.0,1.0
1.0,0.6000000000000001,0.0,0.0,1.0
1.0,0.3,0.0,0.0,1.0
