Target Column,feature_types,selected_features,Accuracy,AUC,Macro Avg F1,Best Model
Generic policy,project_feature,"['num_pull', 'num_stargazers', 'num_watchers', 'num_forks', 'num_subscribers']",0.7049180327868853,0.736122504785343,0.7048387096774194,"RandomForestClassifier(max_features=1, min_samples_leaf=6, min_samples_split=7,
                       n_estimators=512, n_jobs=1, random_state=1,
                       warm_start=True)"
Generic policy,security_practice,"['ssf3_CII-Best-Practices', 'ssf7_Dependency-Update-Tool', 'ssf8_Fuzzing', 'ssf9_License', 'ssf10_Maintained']",0.5819672131147541,0.6185064935064934,0.5692030741535692,"RandomForestClassifier(bootstrap=False, max_features=1, min_samples_leaf=3,
                       min_samples_split=14, n_estimators=512, n_jobs=1,
                       random_state=1, warm_start=True)"
Generic policy,project_quality,"['num_sonarQube_BUG_HIGH', 'num_sonarQube_BUG_MEDIUM', 'num_sonarQube_BUG_LOW', 'num_sonarQube_VULNERABILITY_LOW', 'num_sonarQube_CODE_SMELL_MEDIUM']",0.5409836065573771,0.5934824634078985,0.5408602150537634,"AdaBoostClassifier(algorithm='SAMME',
                   base_estimator=DecisionTreeClassifier(max_depth=10),
                   learning_rate=0.010381491760996881, n_estimators=362,
                   random_state=1)"
Reporting mechanism,project_feature,"['num_commits', 'num_issues', 'num_pull', 'num_forks', 'num_contributors']",0.8037974683544303,0.9062651772705197,0.8036007859176391,"ExtraTreesClassifier(bootstrap=True, criterion='entropy', max_features=1,
                     min_samples_split=7, n_estimators=512, n_jobs=1,
                     random_state=1, warm_start=True)"
Reporting mechanism,security_practice,"['ssf0_Binary-Artifacts', 'ssf1_Branch-Protection', 'ssf3_CII-Best-Practices', 'ssf8_Fuzzing', 'ssf10_Maintained']",0.7911392405063291,0.8532051282051282,0.7904593497568622,"HistGradientBoostingClassifier(early_stopping=True,
                               l2_regularization=8.908183652101429e-05,
                               learning_rate=0.19911994270380215, loss='auto',
                               max_iter=512, max_leaf_nodes=955,
                               min_samples_leaf=33, n_iter_no_change=2,
                               random_state=1, validation_fraction=None,
                               warm_start=True)"
Reporting mechanism,project_quality,"['num_sonarQube_BUG_MEDIUM', 'num_sonarQube_BUG_BLOCKER', 'num_sonarQube_VULNERABILITY_HIGH', 'num_sonarQube_VULNERABILITY_MEDIUM', 'num_sonarQube_VULNERABILITY_BLOCKER']",0.8037974683544303,0.8791085457752125,0.8034115994380896,"KNeighborsClassifier(n_neighbors=2, p=1, weights='distance')"
Scope of practice,project_feature,"['num_commits', 'num_issues', 'num_pull', 'num_contributors', 'project_size(kB)']",0.580952380952381,0.6061818181818183,0.5806100217864925,"RandomForestClassifier(max_features=15, min_samples_leaf=5,
                       min_samples_split=20, n_estimators=512, n_jobs=1,
                       random_state=1, warm_start=True)"
Scope of practice,security_practice,"['ssf1_Branch-Protection', 'ssf3_CII-Best-Practices', 'ssf7_Dependency-Update-Tool', 'ssf8_Fuzzing', 'ssf13_SAST']",0.49523809523809526,0.42490909090909085,0.49061784897025174,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=9),
                   learning_rate=1.9701455892241493, n_estimators=101,
                   random_state=1)"
Scope of practice,project_quality,"['num_sonarQube_BUG_HIGH', 'num_sonarQube_BUG_LOW', 'num_sonarQube_VULNERABILITY_LOW', 'num_sonarQube_VULNERABILITY_BLOCKER', 'num_sonarQube_CODE_SMELL_MEDIUM']",0.5523809523809524,0.5478801169590642,0.5522184919698756,"RandomForestClassifier(bootstrap=False, criterion='entropy', max_features=4,
                       min_samples_leaf=7, n_estimators=512, n_jobs=1,
                       random_state=1, warm_start=True)"
User guideline,project_feature,"['num_pull', 'num_stargazers', 'num_watchers', 'num_forks', 'num_subscribers']",0.7973856209150327,0.8960905349794238,0.7961315280464216,"ExtraTreesClassifier(criterion='entropy', max_features=2, n_estimators=512,
                     n_jobs=1, random_state=1, warm_start=True)"
User guideline,security_practice,"['ssf7_Dependency-Update-Tool', 'ssf8_Fuzzing', 'ssf9_License', 'ssf10_Maintained', 'ssf13_SAST']",0.7647058823529411,0.8060492139439508,0.764454327745467,"HistGradientBoostingClassifier(early_stopping=True,
                               l2_regularization=0.1144885415414585,
                               learning_rate=0.35651231429733377, loss='auto',
                               max_iter=128, max_leaf_nodes=570,
                               min_samples_leaf=52, n_iter_no_change=20,
                               random_state=1,
                               validation_fraction=0.26745137407982933,
                               warm_start=True)"
User guideline,project_quality,"['num_sonarQube_BUG_HIGH', 'num_sonarQube_BUG_LOW', 'num_sonarQube_BUG_BLOCKER', 'num_sonarQube_CODE_SMELL_HIGH', 'num_sonarQube_CODE_SMELL_LOW']",0.7581699346405228,0.8416495198902606,0.7566731141199226,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=2),
                   learning_rate=0.16884660398877008, n_estimators=144,
                   random_state=1)"
